SurveyPeriod,MALL total,Proportion_Mig,Harvest Weight,Proportion_Harvest,Zone,Season
3,52,0.003588803,0,0,High Plains,2019_2020
1,55,0,0,0,Southeast,2012_2013
4,65,0.00325,129.457,0.5,High Plains,2010_2011
2,70,0.00725195,0,0,Low Plains Early,2012_2013
3,70,0.012167565,0,0,High Plains,2015_2016
2,75,0.00033006,0,0,Southeast,2012_2013
2,102,0.014433637,0,0,High Plains,2016_2017
10,112,0.013764287,0,0,High Plains,2011_2012
3,126,0.018825722,0,0,High Plains,2017_2018
9,130,0.00702165,0,0,Low Plains Early,2010_2011
4,150,0.012091898,0,0,High Plains,2013_2014
2,152,0.00172496,0,0,Southeast,2011_2012
2,178,0.028518173,0,0,High Plains,2017_2018
3,182,0.026984625,0,0,High Plains,2016_2017
4,186,0.032330958,0,0,High Plains,2015_2016
3,198,0.015513586,0,0,High Plains,2018_2019
2,200,0.034764471,0,0,High Plains,2015_2016
1,205,0.002326426,0,0,Southeast,2011_2012
9,206,0,0,0,Low Plains Early,2013_2014
3,210,0.00268604,0,0,Southeast,2010_2011
7,213,0.026176724,0,0,High Plains,2011_2012
3,229,0.002598788,0,0,Southeast,2011_2012
3,235,0.002970542,0,0,Southeast,2012_2013
5,241,0.036240979,0,0,High Plains,2016_2017
2,250,0,0,0,Southeast,2014_2015
4,251,0.037809853,0,0,High Plains,2016_2017
4,254,0.028109783,0,0,High Plains,2012_2013
1,260,0.00010401,0,0,Southeast,2014_2015
3,300,0.002621415,0,0,Southeast,2015_2016
2,302,0.026725664,0,0,Low Plains Early,2011_2012
1,306,0.027079646,0,0,Low Plains Early,2011_2012
5,322,0.035635237,0,0,High Plains,2012_2013
3,337,0.000904883,0,0,Southeast,2014_2015
4,346,0.027035649,0,0,High Plains,2019_2020
4,350,0.060577819,0,0,High Plains,2017_2018
10,400,0.043511702,159.179837,0.111111111,Low Plains Early,2012_2013
5,405,0.032648126,0,0,High Plains,2013_2014
6,407,0.06228428,0,0,High Plains,2016_2017
1,415,0,0,0,Low Plains Early,2019_2020
2,437,0,0,0,Low Plains Early,2016_2017
2,445,0.039313933,0,0,High Plains,2018_2019
1,513,0.001043053,0,0,Low Plains Early,2016_2017
5,517,0.056367432,318.359674,0.222222222,Low Plains Early,2012_2013
3,517,0.004318937,0,0,Southeast,2013_2014
3,520,0.002505379,0,0,Southeast,2017_2018
2,525,0.047441999,0,0,Low Plains Early,2013_2014
2,579,0.007986365,0,0,Low Plains Early,2019_2020
1,599,0.058447353,0,0,Low Plains Early,2013_2014
1,663,0,0,0,Low Plains Late,2018_2019
4,680,0.061957988,81.337568,0.166666667,High Plains,2018_2019
4,686,0.07493682,159.179837,0.111111111,Low Plains Early,2012_2013
1,691,0.027995131,0,0,Low Plains Early,2017_2018
5,707,0.03535,258.914,1,High Plains,2010_2011
1,722,0,0,0,Low Plains Late,2014_2015
5,732,0.127237963,150.816398,1,High Plains,2015_2016
6,750,0.0375,258.914,1,High Plains,2010_2011
7,751,0.130540588,0,0,High Plains,2015_2016
1,751,0,0,0,Low Plains Late,2016_2017
3,762,0.004460426,352.456044,0.083333333,Low Plains Early,2016_2017
1,776,0,0,0,Low Plains Early,2018_2019
2,816,0.000442743,0,0,Low Plains Late,2014_2015
3,830,0.092801904,165.960905,0.1,Low Plains Early,2013_2014
9,892,0.098716246,0,0,High Plains,2012_2013
5,892,0.070579791,0,0,High Plains,2019_2020
5,900,0.14516129,0,0,High Plains,2014_2015
8,903,0.156961585,0,0,High Plains,2015_2016
3,909,0,0,0,Low Plains Late,2019_2020
3,991,0.008491647,0,0,Low Plains Early,2018_2019
2,1041,0,0,0,Low Plains Late,2017_2018
2,1105,0.012994194,0,0,Low Plains Early,2018_2019
4,1203,0.013652148,158.886,0.017241379,Southeast,2011_2012
2,1278,0.006333481,0,0,Low Plains Late,2018_2019
6,1289,0.142651616,0,0,High Plains,2012_2013
8,1303,0.07565828,0,0,Low Plains Early,2010_2011
1,1320,0.002317464,0,0,Low Plains Late,2019_2020
4,1339,0.017126704,129.457,0.00877193,Southeast,2010_2011
6,1350,0.10710583,0,0,High Plains,2019_2020
2,1363,0.01000044,0,0,Low Plains Late,2011_2012
3,1386,0.0019621,0,0,Low Plains Late,2017_2018
3,1444,0,331.92181,0.018867925,Low Plains Late,2013_2014
4,1507,0.023962373,0,0,Southeast,2012_2013
3,1515,0.016025163,0,0,Southeast,2019_2020
4,1525,0.014932133,469.941392,0.111111111,Low Plains Early,2016_2017
1,1559,0.0906378,0,0,Low Plains Early,2010_2011
2,1591,0.001540509,0,0,Low Plains Late,2013_2014
4,1651,0.004375615,255.109404,0.019047619,Low Plains Late,2014_2015
2,1676,0,0,0,Low Plains Late,2015_2016
3,1748,0.004832488,0,0,Low Plains Late,2014_2015
8,1750,0.074030603,1418.013225,0.535714286,Low Plains Early,2017_2018
3,1874,0.001437898,452.449194,0.045454545,Low Plains Late,2015_2016
8,1877,0.345200373,0,0,High Plains,2017_2018
8,1900,0.251933373,0,0,Low Plains Early,2013_2014
6,1900,0.306451613,892.882914,1,High Plains,2014_2015
1,1914,0.014043171,0,0,Low Plains Late,2011_2012
5,1941,0.357129543,0,0,High Plains,2017_2018
2,2041,0.086680577,0,0,Low Plains Early,2017_2018
4,2046,0.022308237,0,0,Southeast,2016_2017
1,2068,0,0,0,Low Plains Late,2010_2011
3,2110,0.186725664,0,0,Low Plains Early,2011_2012
8,2120,0.331032319,0,0,High Plains,2016_2017
9,2132,0.053556618,0,0,Low Plains Early,2018_2019
4,2182,0.293872695,0,0,Low Plains Early,2013_2014
7,2252,0.249225321,0,0,High Plains,2012_2013
1,2253,0.004190238,0,0,Low Plains Late,2015_2016
5,2262,0.025047006,587.42674,0.138888889,Low Plains Early,2016_2017
3,2293,0.091453616,93.331655,0.04,Low Plains Early,2019_2020
4,2379,0.020787823,0,0,Southeast,2015_2016
3,2381,0.016850076,0,0,Southeast,2018_2019
4,2402,0.212566372,0,0,Low Plains Early,2011_2012
4,2423,0.0092758,939.882784,0.078431373,Low Plains Late,2016_2017
10,2500,0.403225806,0,0,High Plains,2014_2015
3,2504,0.018959249,81.337568,0.008130081,Low Plains Late,2018_2019
2,2519,0.009078145,0,0,Low Plains Late,2019_2020
4,2522,0.021398756,0,0,Southeast,2013_2014
3,2548,0.009969266,352.456044,0.029411765,Low Plains Late,2016_2017
6,2693,0.497297297,0,0,High Plains,2017_2018
1,2767,0.013864582,0,0,Low Plains Late,2013_2014
7,2826,0.441794791,0,0,High Plains,2016_2017
4,2846,0.010265481,945.34215,0.096153846,Low Plains Late,2017_2018
10,2900,0.124021909,0,0,Low Plains Early,2017_2018
7,3000,0.415526472,331.92181,0.2,Low Plains Early,2013_2014
9,3000,0.483870968,0,0,High Plains,2014_2015
4,3100,0.091788775,813.37568,0.833333333,Low Plains Early,2018_2019
3,3213,0.137628239,472.671075,0.178571429,Low Plains Early,2017_2018
7,3520,0.311504425,317.772,0.166666667,Low Plains Early,2011_2012
4,3556,0.022133029,995.76543,0.056603774,Low Plains Late,2013_2014
2,3574,0,0,0,Low Plains Early,2015_2016
2,3597,0.0128986,0,0,Low Plains Late,2010_2011
10,3611,0.668406337,0,0,High Plains,2017_2018
3,3641,0.026714309,0,0,Low Plains Late,2011_2012
4,3698,0.035862499,0,0,Southeast,2014_2015
9,3711,0.687045666,0,0,High Plains,2017_2018
6,3715,0.328761062,1906.632,1,Low Plains Early,2011_2012
1,3749,0.009519147,0,0,Low Plains Early,2015_2016
9,3750,0,0,0,Low Plains Early,2014_2015
5,3900,0.345132743,1112.202,0.583333333,Low Plains Early,2011_2012
3,3915,0.018548738,452.449194,0.088235294,Low Plains Early,2015_2016
3,3981,0.016138012,0,0,Low Plains Late,2010_2011
2,4000,0.005707111,0,0,Low Plains Early,2014_2015
1,4002,0.005752768,0,0,Low Plains Early,2014_2015
3,4115,0.240198947,0,0,Low Plains Early,2010_2011
9,4200,0.657358017,0,0,High Plains,2016_2017
9,4225,0.463795187,0,0,Low Plains Early,2012_2013
4,4308,0.031608141,794.43,0.061728395,Low Plains Late,2011_2012
3,4310,0.012783929,382.664106,0.230769231,Low Plains Early,2014_2015
1,4393,0.019063652,0,0,Low Plains Late,2017_2018
7,4500,0.725806452,0,0,High Plains,2014_2015
8,4510,0.495110427,1432.618533,1,Low Plains Early,2012_2013
4,4600,0.055809399,2413.062368,0.470588235,Low Plains Early,2015_2016
2,4603,0.021369845,0,0,Low Plains Late,2016_2017
7,4611,0.151467278,0,0,Low Plains Early,2018_2019
6,4778,0.456831759,0,0,High Plains,2018_2019
9,5043,0.063214526,0,0,Low Plains Early,2016_2017
4,5054,0.217657799,189.06843,0.071428571,Low Plains Early,2017_2018
4,5065,0.030019404,255.109404,0.153846154,Low Plains Early,2014_2015
4,5084,0,1273.438696,0.105263158,Low Plains Late,2012_2013
7,5390,1,94.534215,1,High Plains,2017_2018
8,5516,0.6104471,0,0,High Plains,2012_2013
5,5518,0.090155953,955.079022,0.125,Southeast,2012_2013
10,5535,0.18796161,0,0,Low Plains Early,2018_2019
4,5545,0.32387361,129.457,0.5,Low Plains Early,2010_2011
6,5694,0.989744481,0,0,High Plains,2015_2016
9,5753,1,0,0,High Plains,2015_2016
5,5940,0.128698869,3317.960756,0.647058824,Low Plains Early,2015_2016
5,5950,0.347571679,258.914,1,Low Plains Early,2010_2011
5,6032,0.077153309,1941.855,0.131578947,Southeast,2010_2011
6,6075,0.489721886,0,0,High Plains,2013_2014
4,6076,0.033811372,1165.113,0.140625,Low Plains Late,2010_2011
2,6115,0.357226448,0,0,Low Plains Early,2010_2011
8,6200,1,0,0,High Plains,2014_2015
6,6210,0.89292088,1659.60905,1,Low Plains Early,2013_2014
10,6384,1,0,0,High Plains,2016_2017
10,6603,0.951368233,497.882715,0.3,Low Plains Early,2013_2014
6,6647,0.231881196,81.337568,0.083333333,Low Plains Early,2018_2019
8,6700,0.533774623,0,0,High Plains,2019_2020
5,6930,1,0,0,Low Plains Early,2013_2014
7,7036,0.567190649,0,0,High Plains,2013_2014
7,7245,0.795626854,1114.258859,0.777777778,Low Plains Early,2012_2013
5,7278,0.697725959,0,0,High Plains,2018_2019
9,7452,0.714492195,0,0,High Plains,2018_2019
10,7595,0.728271343,0,0,High Plains,2018_2019
4,7708,0.037816488,283.602645,0.044117647,Southeast,2017_2018
9,7784,0.620224898,0,0,High Plains,2019_2020
9,7955,0.238305048,1508.16398,0.294117647,Low Plains Early,2015_2016
5,7969,0.040043494,2937.1337,0.245098039,Low Plains Late,2016_2017
10,8000,0.4,0,0,High Plains,2010_2011
9,8137,1,317.772,0.285714286,High Plains,2011_2012
6,8152,0.376771366,1959.964755,0.84,Low Plains Early,2019_2020
7,8250,0.657388946,0,0,High Plains,2019_2020
10,8473,0.266481723,301.632796,0.058823529,Low Plains Early,2015_2016
4,8485,0.049447716,1357.347582,0.136363636,Low Plains Late,2015_2016
9,8540,0.427,0,0,High Plains,2010_2011
2,8683,0.050146999,0,0,Low Plains Late,2012_2013
5,8865,0.065043215,4448.808,0.345679012,Low Plains Late,2011_2012
6,9005,0.119963474,1530.656424,0.923076923,Low Plains Early,2014_2015
10,9036,1,0,0,High Plains,2012_2013
5,9075,0.059110849,1682.941,0.203125,Low Plains Late,2010_2011
6,9105,1,1114.258859,0.777777778,Low Plains Early,2012_2013
8,9200,0.882925419,488.025408,1,High Plains,2018_2019
5,10000,0.142677777,1530.656424,0.923076923,Low Plains Early,2014_2015
9,10161,0.474604334,373.32662,0.16,Low Plains Early,2019_2020
7,10415,1,0,0,High Plains,2018_2019
5,10735,0.46461485,2646.95802,1,Low Plains Early,2017_2018
9,10944,0.968495575,1112.202,0.583333333,Low Plains Early,2011_2012
10,11300,1,0,0,Low Plains Early,2011_2012
9,11493,0.926481258,0,0,High Plains,2013_2014
7,11700,0.585,0,0,High Plains,2010_2011
4,11863,0.083953151,81.337568,0.009090909,Southeast,2018_2019
10,12009,0.968077388,0,0,High Plains,2013_2014
6,12201,0.469266754,3317.960756,0.647058824,Low Plains Early,2015_2016
6,12392,0.536645801,189.06843,0.071428571,Low Plains Early,2017_2018
8,12405,1,0,0,High Plains,2013_2014
10,12546,1,0,0,High Plains,2019_2020
6,12695,0.089649064,8285.248,1,Low Plains Late,2010_2011
8,12700,0.598246896,2333.291375,1,Low Plains Early,2019_2020
4,12927,0.126298879,1545.413792,0.154471545,Low Plains Late,2018_2019
5,13350,0.115175076,4457.035436,0.368421053,Low Plains Late,2012_2013
7,13519,0.117529853,12097.66761,1,Low Plains Late,2012_2013
5,13541,0.153668944,1906.632,0.206896552,Southeast,2011_2012
4,13630,0.071728625,1773.301445,0.25,Low Plains Late,2019_2020
5,13848,0.08839442,7088.370706,0.712121212,Low Plains Late,2015_2016
4,14120,0.667397127,93.331655,0.04,Low Plains Early,2019_2020
7,15924,0.755247139,1026.648205,0.44,Low Plains Early,2019_2020
5,16052,0.072204717,13010.5796,0.971428571,Low Plains Late,2014_2015
7,16385,0.696855962,0,0,Low Plains Early,2015_2016
6,16500,0.96489175,258.914,1,Low Plains Early,2010_2011
7,16500,0.291062664,1658.211126,1,Low Plains Early,2014_2015
1,16566,0.159985509,0,0,Low Plains Late,2012_2013
7,17100,1,0,0,Low Plains Early,2010_2011
8,18121,0.181652245,9391.610383,0.776315789,Low Plains Late,2012_2013
6,18122,0.181666179,9073.250709,0.75,Low Plains Late,2012_2013
6,18300,0.245158723,4229.472528,1,Low Plains Early,2016_2017
10,19251,0.353863714,1275.54702,0.769230769,Low Plains Early,2014_2015
6,19365,0.142082557,9850.932,0.765432099,Low Plains Late,2011_2012
10,19375,0.92330168,93.331655,0.04,Low Plains Early,2019_2020
8,20000,1,0,0,High Plains,2010_2011
3,20043,0.20843261,318.359674,0.026315789,Low Plains Late,2012_2013
5,20130,0.219484272,704.912088,0.075949367,Southeast,2016_2017
5,20950,1,1306.64317,0.56,Low Plains Early,2019_2020
5,21426,0.209404441,11285.34154,0.641509434,Low Plains Late,2013_2014
6,21614,0.245284732,7149.87,0.775862069,Southeast,2011_2012
8,21958,1,5127.757532,1,Low Plains Early,2015_2016
5,22200,0.846162961,976.050816,1,Low Plains Early,2018_2019
10,22215,0.238696373,9709.970057,0.802631579,Low Plains Late,2012_2013
7,23051,1,1418.013225,0.535714286,Low Plains Early,2017_2018
5,23250,0.239222008,4081.750464,0.326530612,Southeast,2014_2015
10,23900,0.203509669,4978.82715,0.38961039,Southeast,2013_2014
8,26095,1,488.025408,0.5,Low Plains Early,2018_2019
6,26450,0.435596996,3979.495925,0.520833333,Southeast,2012_2013
6,28947,0.370251465,14758.098,1,Southeast,2010_2011
4,29319,0.312474677,0,0,Southeast,2019_2020
10,30660,0.347942532,7467.642,0.810344828,Southeast,2011_2012
6,32111,0.321379542,17591.85593,1,Low Plains Late,2013_2014
5,32345,0.177255017,6533.21585,0.921052632,Low Plains Late,2019_2020
5,32392,0.283042939,603.265592,0.042105263,Southeast,2015_2016
7,32400,0.438672577,1644.794872,0.388888889,Low Plains Early,2016_2017
7,33043,0.544401353,6844.732991,0.895833333,Southeast,2012_2013
9,38993,0.332081097,4314.98353,0.337662338,Southeast,2013_2014
5,39841,0.22066518,5861.12133,0.596153846,Low Plains Late,2017_2018
6,39844,0.216877295,11983.5055,1,Low Plains Late,2016_2017
5,41164,0.291313117,4473.56624,0.5,Southeast,2018_2019
8,42608,0.702252661,7640.632176,1,Southeast,2012_2013
10,44440,0.732486179,1273.438696,0.166666667,Southeast,2012_2013
8,47555,1,1658.211126,1,Low Plains Early,2014_2015
9,48922,0.625745056,906.199,0.061403509,Southeast,2010_2011
6,53806,0.300087584,4443.108105,0.451923077,Low Plains Late,2017_2018
10,55100,0.447376413,5955.022,0.71875,Low Plains Late,2010_2011
7,55970,0.27490396,4632.176535,0.720588235,Southeast,2017_2018
9,56729,0.604723318,6813.210815,0.960526316,Southeast,2019_2020
5,57911,0.58955954,6669.680576,0.666666667,Low Plains Late,2018_2019
5,58951,0.502095579,1327.68724,0.103896104,Southeast,2013_2014
10,59182,0.517135317,7390.003502,0.515789474,Southeast,2015_2016
10,59240,0.807035121,0,0,Low Plains Early,2016_2017
10,59302,0.603884535,3172.165152,0.317073171,Low Plains Late,2018_2019
9,60650,1,6048.833806,0.791666667,Southeast,2012_2013
10,61352,0.654014287,3173.27627,0.447368421,Southeast,2019_2020
5,61440,0.30177538,1985.218515,0.308823529,Southeast,2017_2018
10,62116,0.289167408,13393.24371,1,Low Plains Late,2014_2015
7,62255,0.706495835,1747.746,0.189655172,Southeast,2011_2012
7,63071,0.806720217,8673.619,0.587719298,Southeast,2010_2011
6,63268,0.552838993,7540.8199,0.526315789,Southeast,2015_2016
5,63489,0.676799232,3173.27627,0.447368421,Southeast,2019_2020
8,64094,0.453286469,9350.616676,0.939393939,Low Plains Late,2015_2016
6,64264,0.357233477,7093.20578,1,Low Plains Late,2019_2020
6,66265,0.722509949,4934.384616,0.53164557,Southeast,2016_2017
10,68086,0.742364935,9281.342492,1,Southeast,2016_2017
10,68097,0.37884623,5693.230955,0.802631579,Low Plains Late,2019_2020
7,69260,0.566829762,6213.936,0.75,Low Plains Late,2010_2011
9,72074,0.40127094,0,0,Low Plains Late,2019_2020
8,72893,0.932350157,7896.877,0.535087719,Southeast,2010_2011
8,73300,1,2349.70696,0.555555556,Low Plains Early,2016_2017
7,75014,0.411990857,11866.02015,0.990196078,Low Plains Late,2016_2017
8,76692,0.81757117,7093.20578,1,Southeast,2019_2020
9,76853,1,0,0,Low Plains Late,2012_2013
7,77148,0.674123137,12668.57743,0.884210526,Southeast,2015_2016
10,78182,1,6343.393,0.429824561,Southeast,2010_2011
8,79460,0.69432551,14327.55781,1,Southeast,2015_2016
7,80220,0.447202973,3359.93958,0.473684211,Low Plains Late,2019_2020
8,80342,0.875996293,9163.857144,0.987341772,Southeast,2016_2017
8,81119,0.828563484,10004.52086,1,Low Plains Late,2018_2019
7,81463,0.579422081,5429.390328,0.545454545,Low Plains Late,2015_2016
8,82981,0.706797853,4314.98353,0.337662338,Southeast,2013_2014
7,84762,0.873143791,9293.81068,0.528301887,Low Plains Late,2013_2014
9,84977,0.875396917,0,0,Low Plains Late,2013_2014
10,85236,0.878111147,7468.240725,0.424528302,Low Plains Late,2013_2014
9,85267,0.398209248,892.882914,0.066666667,Low Plains Late,2014_2015
6,86545,0.897550575,12500.3608,1,Southeast,2014_2015
9,88118,1,6196.554,0.672413793,Southeast,2011_2012
9,88336,0.625144192,3904.203264,0.436363636,Southeast,2018_2019
6,88741,0.632275728,6485.105114,0.651515152,Low Plains Late,2015_2016
7,88835,0.968598375,5756.782052,0.620253165,Southeast,2016_2017
7,89122,0.95010129,4666.58275,0.657894737,Southeast,2019_2020
10,89833,0.635738297,2602.802176,0.290909091,Southeast,2018_2019
10,90160,0.935150034,9566.60265,0.765306122,Southeast,2014_2015
9,91715,1,6226.723444,0.670886076,Southeast,2016_2017
9,91717,0.951344324,7525.727418,0.602040816,Southeast,2014_2015
6,91728,0.45056543,2552.423805,0.397058824,Southeast,2017_2018
7,91935,0.953611732,4336.859868,0.346938776,Southeast,2014_2015
6,93802,1,3733.2662,0.526315789,Southeast,2019_2020
8,94185,0.666536924,6344.330304,0.709090909,Southeast,2018_2019
6,94295,0.667315382,7808.406528,0.872727273,Southeast,2018_2019
7,94532,0.966695159,6262.992736,0.62601626,Low Plains Late,2018_2019
10,95173,0.467489021,6428.32662,1,Southeast,2017_2018
6,95995,0.981761635,7157.705984,0.715447154,Low Plains Late,2018_2019
8,96395,1,9694.157352,0.775510204,Southeast,2014_2015
8,96867,1,11949.18516,0.679245283,Low Plains Late,2013_2014
7,97316,0.71401529,6355.44,0.49382716,Low Plains Late,2011_2012
7,97325,0.547590882,7373.66877,0.75,Low Plains Late,2017_2018
9,97766,1,244.012704,0.024390244,Low Plains Late,2018_2019
6,97806,0.833086294,12778.98969,1,Southeast,2013_2014
9,106362,0.879821157,0,0,Low Plains Late,2010_2011
9,109880,0.60541791,939.882784,0.078431373,Low Plains Late,2016_2017
10,110076,0.606505265,8341.459708,0.696078431,Low Plains Late,2016_2017
10,110830,0.792688506,9953.882268,1,Low Plains Late,2015_2016
9,114442,1,9803.06587,0.684210526,Southeast,2015_2016
7,117400,1,4314.98353,0.337662338,Southeast,2013_2014
10,118015,0.865885512,5878.782,0.456790123,Low Plains Late,2011_2012
8,120608,1,6602.307,0.796875,Low Plains Late,2010_2011
7,120703,0.565113771,4081.750464,0.304761905,Low Plains Late,2014_2015
9,136294,1,,0,Low Plains Late,2011_2012
9,139377,1,3317.960756,0.333333333,Low Plains Late,2015_2016
7,141305,1,8947.13248,1,Southeast,2018_2019
8,156096,0.881836071,9831.55836,1,Low Plains Late,2017_2018
9,157666,0.890765048,,0,Low Plains Late,2017_2018
10,176873,1,6050.18976,0.615384615,Low Plains Late,2017_2018
8,178258,1,6066.557575,0.855263158,Low Plains Late,2019_2020
8,181005,1,11513.5641,0.960784314,Low Plains Late,2016_2017
9,193625,0.951135281,3686.834385,0.573529412,Southeast,2017_2018
6,193845,0.909614578,11990.14199,0.895238095,Low Plains Late,2014_2015
8,203572,1,4726.71075,0.735294118,Southeast,2017_2018
8,213035,1,13393.24371,1,Low Plains Late,2014_2015
